Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.03577475,-0.320284396,-0.105561651,0.386543691,0.512973081
0.04576375,-0.378308207,-0.181687057,0.385412306,0.56979815
0.05575275,-0.456311911,-0.267971903,0.38804245,0.656206099
0.06574175,-0.544043243,-0.28013736,0.441622972,0.754646169
0.07573075,-0.591032326,-0.229957283,0.52346319,0.822321879
0.08571975,-0.564216018,-0.128762469,0.586562097,0.823999139
0.09570875,-0.4920201,-0.024046715,0.685376585,0.844039742
0.10569775,-0.409508944,0.081506461,0.814282238,0.915093679
0.11568675,-0.325042278,0.065484084,0.935963154,0.992959049
0.12567575,-0.263260245,0.005374047,1.050880671,1.083367445
0.13566475,-0.220277593,-0.030617243,1.157462597,1.178634505
0.14565375,-0.170434296,-0.052639294,1.210554004,1.223625654
0.15564275,-0.103103198,-0.090006106,1.19873035,1.206518056
0.16563175,-0.031596497,-0.105283268,1.172509909,1.177651218
0.17562075,-0.000485715,-0.060945101,1.173099875,1.174682025
0.18560975,0.013099874,0.076363966,1.219448209,1.221907114
0.19559875,0.028488949,0.267018348,1.327912807,1.354792546
0.20558775,0.040295359,0.447645247,1.485860586,1.552350368
0.21557675,0.069545127,0.548144698,1.630895019,1.721951711
0.22556575,0.088854849,0.518548846,1.749522924,1.826915037
0.23555475,0.066939428,0.247383982,1.846908092,1.864604308
0.24554375,0.031847902,0.062882476,1.884654522,1.885972206
0.25553275,-0.061820533,-0.018908264,1.795670629,1.796833968
0.26552175,-0.214913741,0.094719164,1.614656329,1.631647847
0.27551075,-0.362872571,0.297615826,1.46587348,1.539167548
0.28549975,-0.520643234,0.437657118,1.442602396,1.594902757
0.29548875,-0.711090922,0.418180883,1.52678597,1.735396482
0.30547775,-0.850301504,0.507208288,1.652702093,1.926576524
0.31546675,-0.931404114,0.654061139,1.790042639,2.121217161
0.32545575,-0.913331747,0.822888732,1.894173026,2.258143529
0.33544475,-0.782293022,1.051346183,1.980554819,2.374849166
0.34543375,-0.587778509,1.22393322,2.062056541,2.468921482
0.35542375,-0.382620811,1.325992465,2.172936678,2.57416171
0.36541275,-0.215838566,1.347883821,2.324346066,2.69554479
0.37540175,-0.132391602,1.310681105,2.505874872,2.831045985
0.38539075,-0.109584071,1.148395419,2.629295111,2.871239016
0.39537975,-0.097700514,1.041056991,2.580821753,2.78459799
0.40536875,-0.082991861,1.160360694,2.449122667,2.711369844
0.41535775,-0.038584445,1.473551393,2.356964827,2.779950658
0.42534675,0.017769514,1.708539367,2.254709959,2.828982065
0.43533575,0.055954449,1.806764483,2.078428507,2.754522437
0.44532475,0.188473865,1.938653946,1.896408081,2.718504208
0.45531375,0.39899382,2.197710752,1.699858546,2.80689289
0.46530275,0.578932822,2.404906273,1.426401973,2.855408899
0.47529175,0.760042429,2.357254505,1.093345881,2.707345288
0.48528075,0.96514529,2.396438122,1.005775213,2.772364493
0.49526975,1.070405841,2.288632393,0.67593056,2.615432854
0.50525875,1.053452253,2.031956911,0.356648624,2.316421546
0.51524775,1.033769369,1.782819748,0.326110959,2.086497956
0.52523675,1.052098036,1.292337894,0.132607311,1.671715349
0.53522575,1.105414748,0.634459615,-0.062197056,1.276067883
0.54521475,1.178739786,0.17113781,-0.135873988,1.198823329
0.55520375,1.348081231,0.107166022,-0.116659544,1.357356626
0.56519275,1.673657775,-0.486878574,1.213297009,2.123739797
0.57518175,1.741712928,-0.389027387,2.147467613,2.792225525
0.58517075,1.690686703,0.349269003,2.438595295,2.987834898
0.595160125,1.082308888,-0.766120136,2.710866213,3.017801885
0.605149125,-0.207009301,-1.990341783,3.659136057,4.170562306
0.615138125,-1.628203869,-3.316640854,4.749824047,6.01763931
0.625127125,-2.786057234,-5.133351803,5.963052273,8.346940041
0.635116125,-3.367049456,-7.213723183,7.046720028,10.63160794
0.645105125,-3.482889652,-8.982206345,7.65321064,12.30374676
0.655094125,-2.989652395,-8.958140373,7.578761578,12.10883675
0.665083125,-2.451827049,-8.930811882,6.824481487,11.5041038
0.675072125,-1.963817835,-8.951138496,5.955708504,10.92931492
0.685061125,-1.378439546,-8.662103653,5.275457382,10.23535959
0.695050125,-1.191248059,-8.31306076,5.056955814,9.803002257
0.705039125,-1.709888458,-8.203347206,5.522341251,10.03568019
0.715028125,-2.470976353,-7.71875906,6.347868443,10.2946782
0.725017125,-3.129582644,-6.852559566,6.70410347,10.08448628
0.735006125,-3.433695316,-5.361176491,6.110352516,8.824334806
0.744995125,-3.379304647,-3.054917812,4.931699276,6.713708401
0.754984125,-3.024615526,-0.735934496,3.600160599,4.75931245
0.764973125,-2.361953735,1.516118407,2.2410326,3.591610723
0.774962125,-1.526669025,3.933008194,0.691208661,4.275165632
0.784951125,-0.714102745,6.305350304,-1.085174799,6.437778307
0.794940125,0.047785304,8.661456108,-2.946994066,9.149201024
0.804929125,0.910310984,10.77940083,-4.59566164,11.75347839
0.814918125,2.079322338,12.83350658,-5.865130901,14.26261663
0.824907125,3.535752296,14.79519939,-6.884142876,16.69703245
0.834896125,5.055251122,16.72737122,-7.70777607,19.09896132
0.844885125,6.370441437,18.26669121,-8.43937397,21.10633945
0.854874125,7.157237053,19.42640114,-9.121358871,22.6232246
0.864863125,7.313663006,20.30887794,-9.72110939,23.67361733
0.874852125,6.87051487,20.69477272,-10.26001167,24.09866038
0.884841125,5.865311146,20.5417347,-10.71259212,23.89820849
